fclNpdidFacility,fclSurface,fclCurrentOperatorName,fclName,fclKind,fclBelongsToName,fclBelongsToKind,fclBelongsToS,fclStartupDate,fclWaterDepth,fclFunctions,fclDesignLifetime,fclFactPageUrl,fclFactMapUrl,fclPointGeometryWKT
405160,"N","Statoil Petroleum AS","MOR-A","MULTI WELL TEMPLATE","MORVIN","FIELD","4966234",2010-08-01,"360.000","OIL PRODUCER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=405160","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=405160","POINT(6.477875 65.136972)"
405219,"N","Statoil Petroleum AS","MOR-B","MULTI WELL TEMPLATE","MORVIN","FIELD","4966234",2010-08-01,"360.000","GAS INJECTION - OIL PRODUCER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=405219","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=405219","POINT(6.497247 65.163153)"
430668,"N","ExxonMobil Exploration & Production Norway AS","BALDER SDU B","SUBSEA STRUCTURE","BALDER","FIELD","43562",2013-11-18,"127.000","DISTRIBUTION","0","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=430668","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=430668","POINT(2.378375 59.177856)"
406437,"N","A/S Norske Shell","ORMEN LANGE D","MULTI WELL TEMPLATE","ORMEN LANGE","FIELD","2762452",2010-07-12,"854.000","GAS PRODUCER","50","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=406437","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=406437","POINT(5.313753 63.386339)"
406672,"Y","GDF SUEZ E&P Norge AS","GJØA","SEMISUB STEEL","GJØA","FIELD","4467574",2010-11-07,"360.000","PROCESSING - QUARTER","30","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=406672","http://www.npd.no/FactMapSearch?npdid_facility_surface=406672","POINT(3.896819 61.332364)"
430724,"N","ExxonMobil Exploration & Production Norway AS","BALDER SDU D","SUBSEA STRUCTURE","BALDER","FIELD","43562",2014-10-25,"127.000","DISTRIBUTION","0","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=430724","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=430724","POINT(2.409942 59.199547)"
407790,"N","Statoil Petroleum AS","VEGA NORD","MULTI WELL TEMPLATE","VEGA","FIELD","4467595",2010-12-02,"377.000","GAS PRODUCER - OIL PRODUCER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=407790","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=407790","POINT(3.376892 61.371172)"
407849,"N","Statoil Petroleum AS","VEGA SENTRAL","MULTI WELL TEMPLATE","VEGA","FIELD","4467595",2010-12-02,"378.000","GAS PRODUCER - OIL PRODUCER","20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=407849","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=407849","POINT(3.358831 61.261692)"
407908,"N","Statoil Petroleum AS","VEGA SØR","MULTI WELL TEMPLATE","VEGA","FIELD","4467595",2010-12-02,"368.000","GAS PRODUCER - OIL PRODUCER","30","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=407908","http://www.npd.no/FactMapSearch?npdid_facility_subsurface=407908","POINT(3.441514 61.173919)"
271497,"Y","ConocoPhillips Skandinavia AS","VEST EKOFISK","JACKET 8 LEGS","VEST EKOFISK","FIELD","43513",1974-01-01,"75.100",NULL,"20","http://factpages.npd.no/FactPages/Default.aspx?nav1=facility&nav2=PageView|Fixed|All&nav3=271497","http://www.npd.no/FactMapSearch?npdid_facility_surface=271497","POINT(3.0856 56.563208)"
