prlName,prlLicensingActivityName,prlMainArea,prlStatus,prlDateGranted,prlDateValidTo,prlOriginalArea,prlCurrentArea,prlPhaseCurrent,prlNpdidLicence,prlFactPageUrl,prlFactMapUrl,prlDateUpdated,prlDateUpdatedMax,dateSyncNPD
019,1-A,North sea,ACTIVE,1965-09-01,2029-01-01,1686.393,101.217,PRODUCTION EXTENDED,20916,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20916,http://www.npd.no/FactMapSearch?NPDID_production_licence=20916,9999-12-31,9999-12-31,2013-05-08
019 B,Awarded additionaly to round 1-A,North sea,ACTIVE,1977-09-12,2018-09-01,617.890,142.635,PRODUCTION EXTENDED,20924,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20924,http://www.npd.no/FactMapSearch?NPDID_production_licence=20924,9999-12-31,9999-12-31,2013-05-08
019 C,Awarded additionaly to round 1-A,North sea,ACTIVE,1998-09-14,2018-09-01,323.219,31.496,PRODUCTION EXTENDED,47992,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=47992,http://www.npd.no/FactMapSearch?NPDID_production_licence=47992,9999-12-31,9999-12-31,2013-05-08
019 D,Awarded additionaly to round 1-A,North sea,ACTIVE,2009-01-16,2018-09-01,12.291,7.562,PRODUCTION EXTENDED,5488531,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=5488531,http://www.npd.no/FactMapSearch?NPDID_production_licence=5488531,9999-12-31,9999-12-31,2013-05-08
020,1-A,North sea,INACTIVE,1965-09-01,1987-12-31,1656.119,0.000,NULL,20932,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20932,NULL,9999-12-31,9999-12-31,2013-05-08
021,1-A,North sea,INACTIVE,1965-09-01,1973-09-01,1120.499,0.000,NULL,20940,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20940,NULL,9999-12-31,9999-12-31,2013-05-08
022,1-A,North sea,INACTIVE,1965-12-07,1986-12-31,2263.565,0.000,NULL,20948,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20948,NULL,9999-12-31,9999-12-31,2013-05-08
023,2-A,North sea,INACTIVE,1969-05-23,1985-05-23,341.158,0.000,NULL,20956,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20956,NULL,9999-12-31,9999-12-31,2013-05-08
024,2-A,North sea,ACTIVE,1969-05-23,2015-05-23,446.965,124.750,PRODUCTION,20964,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20964,http://www.npd.no/FactMapSearch?NPDID_production_licence=20964,9999-12-31,9999-12-31,2013-05-08
025,2-A,North sea,ACTIVE,1969-05-23,2028-12-31,535.510,267.852,PRODUCTION,34512,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=34512,http://www.npd.no/FactMapSearch?NPDID_production_licence=34512,9999-12-31,9999-12-31,2013-05-08
026,2-A,North sea,ACTIVE,1969-05-23,2025-05-23,520.058,46.898,PRODUCTION,20980,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20980,http://www.npd.no/FactMapSearch?NPDID_production_licence=20980,2012-07-04,2012-07-04,2013-05-08
027,2-A,North sea,ACTIVE,1969-05-23,2030-03-01,527.805,100.561,PRODUCTION,20988,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20988,http://www.npd.no/FactMapSearch?NPDID_production_licence=20988,9999-12-31,9999-12-31,2013-05-08
027 B,Awarded additionaly to round 2-A,North sea,ACTIVE,1999-12-15,2021-03-01,159.883,52.660,PRODUCTION,917344,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=917344,http://www.npd.no/FactMapSearch?NPDID_production_licence=917344,2012-10-18,2012-10-18,2013-05-08
027 C,Awarded additionaly to round 2-A,North sea,ACTIVE,2000-10-09,2030-03-01,3.524,3.524,PRODUCTION,1333301,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=1333301,http://www.npd.no/FactMapSearch?NPDID_production_licence=1333301,9999-12-31,9999-12-31,2013-05-08
027 D,Awarded additionaly to round 1-A,North sea,ACTIVE,2007-12-07,2015-05-23,85.287,58.061,PRODUCTION,4943160,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=4943160,http://www.npd.no/FactMapSearch?NPDID_production_licence=4943160,9999-12-31,9999-12-31,2013-05-08
027 P,Awarded additionaly to round 2-A,North sea,INACTIVE,1994-01-19,1999-12-14,159.883,0.000,NULL,20996,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=20996,NULL,9999-12-31,9999-12-31,2013-05-08
028,2-A,North sea,ACTIVE,1969-05-23,2030-03-01,531.663,24.773,PRODUCTION,21004,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21004,http://www.npd.no/FactMapSearch?NPDID_production_licence=21004,9999-12-31,9999-12-31,2013-05-08
028 B,Awarded additionaly to round 2-A,North sea,ACTIVE,1999-12-15,2015-05-23,221.649,30.210,PRODUCTION,917484,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=917484,http://www.npd.no/FactMapSearch?NPDID_production_licence=917484,9999-12-31,9999-12-31,2013-05-08
028 C,Awarded additionaly to round 2-A,North sea,ACTIVE,2000-10-09,2030-03-01,17.739,17.739,PRODUCTION,1333344,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=1333344,http://www.npd.no/FactMapSearch?NPDID_production_licence=1333344,9999-12-31,9999-12-31,2013-05-08
028 P,Awarded additionaly to round 2-A,North sea,INACTIVE,1994-01-19,1999-12-14,221.649,0.000,NULL,21012,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21012,NULL,9999-12-31,9999-12-31,2013-05-08
028 S,Awarded additionaly to round 2-A,North sea,ACTIVE,2009-11-13,2030-03-01,24.773,24.773,PRODUCTION,18054740,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=18054740,http://www.npd.no/FactMapSearch?NPDID_production_licence=18054740,2012-08-29,2012-08-29,2013-05-08
029,2-A,North sea,ACTIVE,1969-05-23,2028-12-31,539.346,34.710,PRODUCTION,21020,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21020,http://www.npd.no/FactMapSearch?NPDID_production_licence=21020,2012-11-03,2012-11-05,2013-05-08
029 B,Awarded additionaly to round 2-A,North sea,ACTIVE,2001-05-11,2015-05-23,213.000,95.147,PRODUCTION,1626782,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=1626782,http://www.npd.no/FactMapSearch?NPDID_production_licence=1626782,2012-12-05,2012-12-05,2013-05-08
029 C,Awarded additionaly to round 2-A,North sea,ACTIVE,2012-10-17,2028-12-31,21.163,21.163,PRODUCTION,22493034,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=22493034,http://www.npd.no/FactMapSearch?NPDID_production_licence=22493034,2012-12-05,2012-12-06,2013-05-08
030,2-A,North sea,INACTIVE,1969-05-23,1995-12-31,464.254,0.000,NULL,21028,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21028,NULL,9999-12-31,9999-12-31,2013-05-08
031,2-A,North sea,INACTIVE,1969-05-23,1999-12-31,201.075,0.000,NULL,21036,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21036,NULL,9999-12-31,9999-12-31,2013-05-08
032,2-A,North sea,INACTIVE,1969-05-30,1999-12-31,538.404,0.000,NULL,21044,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21044,NULL,9999-12-31,9999-12-31,2013-05-08
