wlbName,wlbOilSampleTestType,wlbOilSampleTestNumber,wlbOilSampleTopDepth,wlbOilSampleBottomDepth,wlbOilSampleFluidType,wlbOilSampleTestDate,wlbOilSampledateReceivedDate,wlbNpdidWellbore,wlbOilSampleDateUpdated,dateSyncNPD
6507/3-1,DST,TEST3,3611.00,3636.00,NULL,1990-10-10,1992-05-02,1533,9999-12-31,2013-05-08
6507/5-1,DST,DST1,3607.00,3653.00,OIL,1998-04-02,1998-04-28,3683,9999-12-31,2013-05-08
6507/5-1,DST,DST2,3430.00,3442.00,CONDENSATE,1998-04-13,1998-04-28,3683,9999-12-31,2013-05-08
6507/5-1,DST,DST2A,3494.00,3514.00,CONDENSATE,1998-04-15,1998-04-28,3683,9999-12-31,2013-05-08
6507/5-1,DST,DST3,2993.00,3001.00,OIL,1998-04-26,1998-04-28,3683,9999-12-31,2013-05-08
6507/5-5,DST,NULL,0.00,0.00,NULL,9999-12-31,2011-08-06,4428,9999-12-31,2013-05-08
6507/6-2,RFT,RFT-2A,2754.50,2886.50,NULL,1991-06-08,1991-07-22,1520,9999-12-31,2013-05-08
6507/7-2,DST,NULL,2417.00,2439.00,NULL,1985-04-29,1991-07-22,464,9999-12-31,2013-05-08
6507/7-2,DST,NULL,2365.00,2376.00,NULL,1985-04-30,1991-07-22,464,9999-12-31,2013-05-08
6507/7-2,DST,DST4A,2330.00,2340.00,NULL,1985-05-24,1991-07-22,464,9999-12-31,2013-05-08
6507/7-2,DST,DST5,2290.00,2310.00,NULL,1985-05-29,1991-07-22,464,9999-12-31,2013-05-08
6507/7-2,DST,DST6,2232.00,2245.00,NULL,1985-06-01,1991-07-22,464,9999-12-31,2013-05-08
6507/7-2,DST,DST7,2203.00,2222.00,NULL,1985-06-05,1991-07-22,464,9999-12-31,2013-05-08
6507/7-3,DST,DST1,2413.00,2430.00,NULL,1985-09-03,1991-07-22,482,9999-12-31,2013-05-08
6507/7-3,DST,DST2,2385.00,2400.00,NULL,1985-09-08,1991-07-22,482,9999-12-31,2013-05-08
6507/7-3,DST,DST3,2368.00,2380.00,NULL,1985-09-12,1991-07-22,482,9999-12-31,2013-05-08
6507/7-4,DST,DST1,2494.00,2499.00,NULL,1985-12-18,1991-07-22,853,9999-12-31,2013-05-08
6507/7-4,DST,DST2,2470.00,2477.00,NULL,1985-12-24,1991-07-22,853,9999-12-31,2013-05-08
6507/7-4,DST,DST3,2418.00,2424.00,NULL,1985-12-31,1991-07-22,853,9999-12-31,2013-05-08
6507/7-5,DST,NULL,2418.00,2424.00,NULL,1986-02-21,1991-07-22,879,9999-12-31,2013-05-08
6507/7-5,DST,TEST1,0.00,0.00,NULL,1987-01-20,1992-05-02,879,9999-12-31,2013-05-08
6507/7-5,DST,DST2,2355.00,2375.00,NULL,1986-02-25,1991-07-22,879,9999-12-31,2013-05-08
6507/7-5,DST,NULL,2355.00,2375.00,NULL,1986-03-02,1991-07-22,879,9999-12-31,2013-05-08
6507/7-5,DST,TEST2A,2355.00,2375.00,NULL,1986-03-02,1992-05-02,879,9999-12-31,2013-05-08
6507/7-6,DST,DST1,2411.50,2424.00,NULL,1986-08-24,1991-07-22,922,9999-12-31,2013-05-08
6507/7-6,DST,DST2,2348.50,2365.00,NULL,1984-08-30,1991-07-22,922,9999-12-31,2013-05-08
6507/7-6,DST,TEST2,0.00,0.00,NULL,1986-08-30,1992-05-02,922,9999-12-31,2013-05-08
6507/7-8,DST,DST1,2473.00,2480.00,NULL,1987-07-19,1991-07-22,1071,9999-12-31,2013-05-08
6507/7-8,DST,DST2,2438.00,2441.00,NULL,1987-07-21,1991-07-22,1071,9999-12-31,2013-05-08
6507/8-1,DST,DST1,2444.00,2462.50,NULL,1986-11-30,1991-07-22,933,9999-12-31,2013-05-08
6507/8-1,DST,DST2,2386.00,2406.00,NULL,1986-12-04,1991-07-22,933,9999-12-31,2013-05-08
6507/8-4,DST,TEST2,2200.00,2221.00,NULL,1990-07-25,1992-05-02,1340,9999-12-31,2013-05-08
6507/8-4,DST,TEST3,2163.50,2168.00,NULL,1990-07-30,1992-05-02,1340,9999-12-31,2013-05-08
6507/8-4,DST,TEST4,2126.00,2135.00,NULL,1990-08-07,1992-05-02,1340,9999-12-31,2013-05-08
6604/2-1,DST,NULL,0.00,3115.00,WATER,2011-04-19,2011-05-24,6568,9999-12-31,2013-05-08
6605/8-1,NULL,NULL,0.00,0.00,CONDENSATE,2005-09-22,2005-10-25,4984,9999-12-31,2013-05-08
6605/8-1,DST,NULL,0.00,0.00,NULL,9999-12-31,9999-12-31,4984,9999-12-31,2013-05-08
6608/10-14 S,DST,3C,0.00,2568.10,OIL,9999-12-31,2011-03-10,6306,9999-12-31,2013-05-08
6608/10-14 S,DST,1A,0.00,2692.40,OIL,9999-12-31,2011-03-10,6306,9999-12-31,2013-05-08
6608/10-2,DST,DST2,2673.00,2695.00,NULL,1992-01-04,1992-02-10,1782,9999-12-31,2013-05-08
6608/10-2,DST,DST3A,2603.00,2606.00,NULL,1992-01-10,1992-02-10,1782,9999-12-31,2013-05-08
6608/10-2,DST,DST3B,2603.00,2606.00,NULL,1992-01-13,1992-02-10,1782,9999-12-31,2013-05-08
6608/10-4,DST,DST2,2582.20,2466.20,OIL,1994-02-16,1994-03-11,2256,9999-12-31,2013-05-08
6608/10-4,DST,DST3AB,2514.00,2484.50,NULL,1994-02-23,1994-03-11,2256,9999-12-31,2013-05-08
6608/10-6,DST,NULL,0.00,0.00,OIL,9999-12-31,9999-12-31,3260,9999-12-31,2013-05-08
6608/10-6,MDT,NULL,0.00,1910.50,OIL,2000-01-01,9999-12-31,3260,9999-12-31,2013-05-08
6608/10-7,MDT,NULL,0.00,0.00,OIL,2001-04-30,2011-03-10,4273,9999-12-31,2013-05-08
6608/10-9,DST,NULL,0.00,2169.00,OIL,9999-12-31,9999-12-31,4668,9999-12-31,2013-05-08
6608/11-4,DST,NULL,0.00,1657.60,WATER,2004-05-16,2011-03-10,4939,9999-12-31,2013-05-08
6610/7-2,MUD,NULL,0.00,0.00,BASE OIL,9999-12-31,1992-05-02,26,9999-12-31,2013-05-08
7/11-9,DST,DST1,4169.00,4182.50,NULL,1986-03-03,1991-02-28,856,9999-12-31,2013-05-08
7/11-A-1,DST,NULL,0.00,0.00,NULL,1996-03-06,1996-04-15,832,9999-12-31,2013-05-08
7/11-A-8,DST,NULL,0.00,0.00,NULL,1996-03-05,1996-04-15,839,9999-12-31,2013-05-08
7/11-A-9,DST,NULL,0.00,0.00,NULL,1996-03-05,1996-04-15,840,9999-12-31,2013-05-08
7/12-2,DST,DST1A,3640.20,3666.00,NULL,1976-09-08,1991-07-22,295,9999-12-31,2013-05-08
7/12-2,DST,DST2,3525.00,3532.00,NULL,1976-09-11,1991-07-22,295,9999-12-31,2013-05-08
7/12-2,DST,DST3,3426.50,3437.70,NULL,1976-09-14,1991-07-22,295,9999-12-31,2013-05-08
7/12-2,DST,DST4,3383.70,3393.00,NULL,1976-09-18,1991-07-22,295,9999-12-31,2013-05-08
7/12-6,DST,TEST2,0.00,3511.00,NULL,1981-07-16,1997-04-01,281,9999-12-31,2013-05-08
7/12-6,DST,NULL,0.00,0.00,NULL,1983-06-29,1991-10-01,281,9999-12-31,2013-05-08
7/4-2,DST,NULL,0.00,3389.00,NULL,9999-12-31,2011-08-06,5683,9999-12-31,2013-05-08
7/7-2,DST,TEST2,3333.00,3342.00,NULL,1992-04-15,1992-05-02,1868,9999-12-31,2013-05-08
7/8-3,DST,DST1,3762.00,3767.00,NULL,1983-12-02,1991-07-22,28,9999-12-31,2013-05-08
7/8-3,DST,DST2,3734.50,3740.50,NULL,1983-12-05,1991-07-22,28,9999-12-31,2013-05-08
7119/12-3,DST,TEST1,3185.00,3195.00,NULL,1983-09-03,1992-04-01,17,9999-12-31,2013-05-08
7119/9-1,RFT,RFT 1,2748.00,0.00,NULL,1984-09-14,1995-08-09,132,9999-12-31,2013-05-08
7119/9-1,RFT,RFT 2,3096.00,0.00,NULL,1985-09-15,1995-08-09,132,9999-12-31,2013-05-08
7120/1-2,DST,TEST3A,1879.00,1971.00,NULL,1989-03-21,1992-04-01,1366,9999-12-31,2013-05-08
7120/1-2,DST,NULL,1888.00,1896.00,NULL,1989-03-21,1991-03-06,1366,9999-12-31,2013-05-08
7120/1-2,DST,DST3B,1944.00,1971.00,NULL,1989-03-22,1991-03-06,1366,9999-12-31,2013-05-08
7120/12-2,DST,NULL,1985.00,1991.00,CONDENSATE,1981-09-03,1991-02-28,122,2012-11-07,2013-05-08
7120/2-1,DST,NULL,0.00,0.00,NULL,9999-12-31,1991-02-28,473,9999-12-31,2013-05-08
7120/2-1,DST,NULL,0.00,0.00,NULL,1986-08-07,1992-04-01,473,9999-12-31,2013-05-08
7120/6-1,DST,DST2,2432.05,2436.05,OIL,1985-04-13,1991-02-28,456,9999-12-31,2013-05-08
7120/6-1,DST,DST4,2386.00,2401.00,CONDENSATE,1985-04-25,1991-02-28,456,9999-12-31,2013-05-08
7120/6-2 S,DST,0,0.00,2630.00,OIL,9999-12-31,2011-03-10,3558,9999-12-31,2013-05-08
7120/6-2 S,MDT,NULL,0.00,2632.00,OIL,2007-07-11,9999-12-31,3558,9999-12-31,2013-05-08
7120/7-1,DST,TEST2,2415.00,2435.00,NULL,1982-09-29,1992-04-01,85,9999-12-31,2013-05-08
7120/7-2,DST,TEST1,2153.00,2180.00,NULL,1983-08-11,1992-04-01,18,9999-12-31,2013-05-08
7120/8-1,DST,DST1,2165.00,2172.00,NULL,1981-08-20,1992-04-01,120,9999-12-31,2013-05-08
7120/8-1,DST,DST2,2133.00,2138.00,NULL,1981-08-26,1992-04-01,120,9999-12-31,2013-05-08
7120/8-1,DST,DST3,2093.00,2110.00,NULL,1981-08-31,1992-04-01,120,9999-12-31,2013-05-08
7120/8-2,DST,DST1,2092.00,2097.00,NULL,1982-07-20,1992-04-01,50,9999-12-31,2013-05-08
7120/9-1,DST,DST2A,1869.00,1874.00,NULL,1982-09-17,1991-02-28,82,9999-12-31,2013-05-08
7121/4-1,DST,DST1,2497.00,2504.00,WATER,1985-04-07,1992-04-01,135,9999-12-31,2013-05-08
7121/4-1,DST,DST2,2471.00,2465.00,CONDENSATE,1984-10-05,1991-02-28,135,9999-12-31,2013-05-08
7121/4-1,DST,DST3,2419.80,2434.80,OIL,1984-10-10,1992-04-01,135,9999-12-31,2013-05-08
7121/4-1,DST,DST4,2353.00,2385.00,CONDENSATE,1984-10-17,1992-04-01,135,9999-12-31,2013-05-08
7121/5-1,DST,DST1,2436.00,2439.00,NULL,1985-09-04,1992-04-01,479,9999-12-31,2013-05-08
7121/7-1,DST,DST2,1866.00,1871.00,NULL,1984-07-23,1992-04-01,130,9999-12-31,2013-05-08
7121/7-2,DST,DST1,1881.00,1898.00,NULL,1986-08-07,9999-12-31,881,9999-12-31,2013-05-08
7121/7-2,FMT,NULL,0.00,1899.00,NULL,1986-08-01,9999-12-31,881,9999-12-31,2013-05-08
7122/6-1,DST,NULL,2424.00,2434.00,NULL,1987-11-03,1990-11-30,1140,9999-12-31,2013-05-08
7122/7-1,DST,MDT-1,0.00,1114.40,OIL,2000-09-30,2000-10-24,4173,9999-12-31,2013-05-08
7122/7-2,DST,NULL,0.00,0.00,OIL,9999-12-31,2011-08-06,4391,9999-12-31,2013-05-08
7122/7-3,MDT,NULL,0.00,1195.60,NULL,2005-11-30,2006-01-03,5214,9999-12-31,2013-05-08
7122/7-3,MDT,NULL,0.00,1812.00,NULL,2005-12-17,2006-01-03,5214,9999-12-31,2013-05-08
7122/7-4 S,DST,NULL,0.00,0.00,NULL,9999-12-31,2011-08-06,5406,9999-12-31,2013-05-08
7128/4-1,DST,DST1-1A,1610.00,1595.00,NULL,1994-02-09,1994-12-07,2049,9999-12-31,2013-05-08
7128/4-1,DST,DST1A-1B,1610.00,1577.00,NULL,1994-02-10,9999-12-31,2049,9999-12-31,2013-05-08
7128/4-1,DST,DST2,1577.00,0.00,NULL,1994-02-17,1994-03-11,2049,9999-12-31,2013-05-08
7220/8-1,DST,NULL,0.00,0.00,NULL,2011-04-13,2011-08-06,6484,9999-12-31,2013-05-08
7222/6-1 S,DST,"1,01      ",0.00,1633.80,OIL,2008-02-22,2011-03-10,5755,9999-12-31,2013-05-08
7224/7-1,RFT,RFT,0.00,902.00,NULL,9999-12-31,9999-12-31,1245,9999-12-31,2013-05-08
7228/7-1 A,DST,NULL,0.00,0.00,CONDENSATE,2001-07-23,2011-03-10,4257,9999-12-31,2013-05-08
9/2-1,DST,TEST3,3177.00,3210.00,NULL,1987-04-20,1991-10-01,1038,9999-12-31,2013-05-08
9/2-3,DST,TEST1,3258.00,3268.00,NULL,1990-01-29,1991-10-01,1294,9999-12-31,2013-05-08
