prlName,prlLicenseeDateValidFrom,prlLicenseeDateValidTo,cmpLongName,prlLicenseeInterest,prlLicenseeSdfi,prlOperDateValidFrom,prlOperDateValidTo,prlNpdidLicence,cmpNpdidCompany,prlLicenseeDateUpdated,dateSyncNPD
006 B,2000-10-09,2001-12-31,TotalFinaElf Exploration Norge AS,15.00000,NULL,9999-12-31,9999-12-31,1333048,1340884,9999-12-31,2013-05-08
006 B,2000-10-09,2001-12-31,BP Amoco Norge AS,28.33333,NULL,2000-10-09,2002-03-12,1333048,982372,9999-12-31,2013-05-08
006 B,2000-10-09,2001-12-31,Amerada Hess Norge AS,28.33333,NULL,9999-12-31,9999-12-31,1333048,67,9999-12-31,2013-05-08
006 C,2012-12-31,9999-12-31,Noreco Norway AS,15.00000,NULL,9999-12-31,9999-12-31,1333089,22223020,9999-12-31,2013-05-08
006 C,2012-12-31,9999-12-31,Faroe Petroleum Norge AS,10.00000,NULL,9999-12-31,9999-12-31,1333089,4062883,9999-12-31,2013-05-08
006 C,2012-12-31,9999-12-31,Lundin Norway AS,75.00000,NULL,2004-01-01,9999-12-31,1333089,2767314,9999-12-31,2013-05-08
006 C,2008-01-01,2012-12-31,Faroe Petroleum Norge AS,10.00000,NULL,9999-12-31,9999-12-31,1333089,4062883,2013-01-04,2013-05-08
006 C,2008-01-01,2012-12-31,Norwegian Energy Company ASA,15.00000,NULL,9999-12-31,9999-12-31,1333089,4530695,2013-01-04,2013-05-08
006 C,2008-01-01,2012-12-31,Lundin Norway AS,75.00000,NULL,2004-01-01,9999-12-31,1333089,2767314,2013-01-04,2013-05-08
006 C,2007-07-11,2008-01-01,Norwegian Energy Company ASA,25.00000,NULL,9999-12-31,9999-12-31,1333089,4530695,9999-12-31,2013-05-08
006 C,2007-07-11,2008-01-01,Lundin Norway AS,75.00000,NULL,2004-01-01,9999-12-31,1333089,2767314,9999-12-31,2013-05-08
006 C,2006-01-01,2007-07-11,Norwegian Energy Company AS,25.00000,NULL,9999-12-31,9999-12-31,1333089,3482246,9999-12-31,2013-05-08
006 C,2006-01-01,2007-07-11,Lundin Norway AS,75.00000,NULL,2004-01-01,9999-12-31,1333089,2767314,9999-12-31,2013-05-08
006 C,2004-01-01,2006-01-01,Lundin Norway AS,100.00000,NULL,2004-01-01,9999-12-31,1333089,2767314,9999-12-31,2013-05-08
006 C,2003-01-21,2004-01-01,Det Norske Oljeselskap AS,100.00000,NULL,2003-01-21,2004-01-01,1333089,1340609,9999-12-31,2013-05-08
006 C,2002-03-12,2003-01-21,TotalFinaElf Exploration Norge AS,15.00000,NULL,9999-12-31,9999-12-31,1333089,1340884,9999-12-31,2013-05-08
006 C,2002-03-12,2003-01-21,Amerada Hess Norge AS,28.33333,NULL,2001-04-25,2003-01-21,1333089,67,9999-12-31,2013-05-08
006 C,2002-03-12,2003-01-21,Det Norske Oljeselskap AS,10.00000,NULL,9999-12-31,9999-12-31,1333089,1340609,9999-12-31,2013-05-08
006 C,2002-03-12,2003-01-21,Gaz de France Norge AS,14.16600,NULL,9999-12-31,9999-12-31,1333089,1628733,9999-12-31,2013-05-08
006 C,2002-03-12,2003-01-21,Enterprise Oil Norge AS,14.16733,NULL,9999-12-31,9999-12-31,1333089,1853786,9999-12-31,2013-05-08
006 C,2002-03-12,2003-01-21,BP Norge AS,18.33333,NULL,9999-12-31,9999-12-31,1333089,2052695,9999-12-31,2013-05-08
006 C,2001-12-31,2002-03-12,BP Amoco Norge AS,18.33333,NULL,9999-12-31,9999-12-31,1333089,982372,9999-12-31,2013-05-08
006 C,2001-12-31,2002-03-12,TotalFinaElf Exploration Norge AS,15.00000,NULL,9999-12-31,9999-12-31,1333089,1340884,9999-12-31,2013-05-08
006 C,2001-12-31,2002-03-12,Amerada Hess Norge AS,28.33333,NULL,2001-04-25,2003-01-21,1333089,67,9999-12-31,2013-05-08
006 C,2001-12-31,2002-03-12,Det Norske Oljeselskap AS,10.00000,NULL,9999-12-31,9999-12-31,1333089,1340609,9999-12-31,2013-05-08
006 C,2001-12-31,2002-03-12,Gaz de France Norge AS,14.16600,NULL,9999-12-31,9999-12-31,1333089,1628733,9999-12-31,2013-05-08
006 C,2001-12-31,2002-03-12,Enterprise Oil Norge AS,14.16733,NULL,9999-12-31,9999-12-31,1333089,1853786,9999-12-31,2013-05-08
006 C,2001-12-18,2001-12-31,BP Amoco Norge AS,18.33333,NULL,9999-12-31,9999-12-31,1333089,982372,9999-12-31,2013-05-08
006 C,2001-12-18,2001-12-31,TotalFinaElf Exploration Norge AS,15.00000,NULL,9999-12-31,9999-12-31,1333089,1340884,9999-12-31,2013-05-08
006 C,2001-12-18,2001-12-31,Enterprise Oil Norwegian AS,14.16733,NULL,9999-12-31,9999-12-31,1333089,342,9999-12-31,2013-05-08
006 C,2001-12-18,2001-12-31,Amerada Hess Norge AS,28.33333,NULL,2001-04-25,2003-01-21,1333089,67,9999-12-31,2013-05-08
006 C,2001-12-18,2001-12-31,Det Norske Oljeselskap AS,10.00000,NULL,9999-12-31,9999-12-31,1333089,1340609,9999-12-31,2013-05-08
006 C,2001-12-18,2001-12-31,Gaz de France Norge AS,14.16600,NULL,9999-12-31,9999-12-31,1333089,1628733,9999-12-31,2013-05-08
006 C,2001-02-02,2001-12-18,Amerada Hess Norge AS,28.33333,NULL,2001-04-25,2003-01-21,1333089,67,9999-12-31,2013-05-08
006 C,2001-02-02,2001-12-18,BP Amoco Norge AS,18.33333,NULL,2000-10-09,2001-04-25,1333089,982372,9999-12-31,2013-05-08
006 C,2001-02-02,2001-12-18,TotalFinaElf Exploration Norge AS,15.00000,NULL,9999-12-31,9999-12-31,1333089,1340884,9999-12-31,2013-05-08
006 C,2001-02-02,2001-12-18,Enterprise Oil Norwegian AS,28.33333,NULL,9999-12-31,9999-12-31,1333089,342,9999-12-31,2013-05-08
006 C,2001-02-02,2001-12-18,Det Norske Oljeselskap AS,10.00000,NULL,9999-12-31,9999-12-31,1333089,1340609,9999-12-31,2013-05-08
