seaName,seaPlanFromDate,seaNpdidSurvey,seaStatus,seaGeographicalArea,seaSurveyTypeMain,seaSurveyTypePart,seaCompanyReported,seaPlanToDate,seaDateStarting,seaDateFinalized,seaCdpTotalKm,seaBoatTotalKm,sea3DKm2,seaSampling,seaShallowDrilling,seaGeotechnical,dateSyncNPD
HBW13,2013-03-01,7775,Planlagt,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,TGS Nopec Geophysical Company  ASA,2013-05-31,9999-12-31,9999-12-31,NULL,NULL,2001.06,NULL,NULL,NULL,2013-05-08
HF13,2013-03-01,7791,Pågående,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,TGS Nopec Geophysical Company  ASA,2013-09-30,2013-04-15,9999-12-31,NULL,NULL,12273.18,NULL,NULL,NULL,2013-05-08
HFCN13,2013-03-01,7786,Planlagt,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,TGS Nopec Geophysical Company  ASA,2013-09-30,9999-12-31,9999-12-31,NULL,NULL,1939.65,NULL,NULL,NULL,2013-05-08
SS1302,2013-03-01,7779,Planlagt,Barentshavet - Sør,Ordinær seismisk undersøkelse,2D,Searcher Seismic Pty Ltd,2013-06-30,9999-12-31,9999-12-31,NULL,NULL,NULL,NULL,NULL,NULL,2013-05-08
TEPN-13-1,2013-03-01,7780,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Total E&P Norge AS,2013-05-01,2013-03-11,2013-04-02,659,659,NULL,Ja,Nei,Ja,2013-05-08
WG1301,2013-03-01,7781,Pågående,Barentshavet - Sør,Ordinær seismisk undersøkelse,3D,WesternGeco AS,2013-08-31,2013-03-30,9999-12-31,NULL,NULL,16314.67,NULL,NULL,NULL,2013-05-08
ST13315,2013-02-19,7798,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,Ikke seismikk,Statoil ASA,2013-02-28,2013-02-24,2013-02-25,17,17,NULL,Nei,Nei,Nei,2013-05-08
ST13309,2013-02-09,7788,Avlyst,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2013-02-28,9999-12-31,9999-12-31,NULL,NULL,NULL,Nei,Nei,Nei,2013-05-08
LN13301,2013-02-01,7783,Ferdig,Nordsjøen,Grunnundersøkelser,Ikke seismikk,Lundin Norway AS,2013-03-31,2013-02-19,2013-03-16,NULL,NULL,NULL,Ja,Nei,Ja,2013-05-08
LN13302,2013-02-01,7784,Ferdig,Nordsjøen,Grunnundersøkelser,Ikke seismikk,Lundin Norway AS,2013-03-31,2013-02-21,2013-03-15,NULL,NULL,NULL,Ja,Nei,Ja,2013-05-08
ST13305,2013-01-24,7771,Ferdig,Nordsjøen,Borestedundersøkelse / sitesurvey,2D,Statoil ASA,2013-05-08,2013-02-26,2013-04-25,281,281,NULL,Nei,Nei,Ja,2013-05-08
CGGV1301,2013-01-20,7769,Pågående,Norskehavet,Ordinær seismisk undersøkelse,3D,CGG Veritas Services SA,2013-06-30,2013-02-20,9999-12-31,NULL,NULL,3496.20,NULL,NULL,NULL,2013-05-08
DN1301,2013-01-18,7778,Ferdig,Barentshavet - Sør,Borestedundersøkelse / sitesurvey,2D,Det norske oljeselskap ASA,2013-02-15,2013-01-23,2013-02-03,140,180,NULL,Nei,Nei,Ja,2013-05-08
